'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:43.464',-,-,-,-,-,-,-0.080,-0.136,69.600,-
'25:43.472',-,-,-,-,-,-,-0.080,-0.040,69.600,-
'25:43.480',-,-,-,-,-,-,-0.080,-0.064,69.600,-
'25:43.488',-,-,-,-,-,-,-0.080,-0.112,68.400,-
'25:43.496',-,-,-,-,-,-,-0.104,-0.112,68.400,-
'25:43.504',-,-,-,-,-,-,-0.120,-0.088,67.200,-
'25:43.512',-,-,-,-,-,-,-0.144,-0.160,67.200,-
'25:43.520',-,-,-,-,-,-,-0.144,-0.112,66.000,-
'25:43.528',-,-,-,-,-,-,-0.120,-0.136,66.000,-
'25:43.536',-,-,-,-,-,-,-0.104,-0.160,64.800,-
'25:43.544',-,-,-,-,-,-,-0.120,-0.112,64.800,-
'25:43.552',-,-,-,-,-,-,-0.144,-0.112,64.800,-
'25:43.560',-,-,-,-,-,-,-0.144,-0.160,64.800,-
'25:43.568',-,-,-,-,-,-,-0.144,-0.184,64.800,-
'25:43.576',-,-,-,-,-,-,-0.168,-0.160,64.800,-
'25:43.584',-,-,-,-,-,-,-0.144,-0.136,63.600,-
'25:43.592',-,-,-,-,-,-,-0.080,-0.064,62.400,-
'25:43.600',-,-,-,-,-,-,-0.040,-0.016,62.400,-
'25:43.608',-,-,-,-,-,-,-0.056,0.000,62.400,-
'25:43.616',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:43.624',-,-,-,-,-,-,-0.104,-0.136,62.400,-
'25:43.632',-,-,-,-,-,-,-0.080,-0.160,62.400,-
'25:43.640',-,-,-,-,-,-,-0.080,-0.088,62.400,-
'25:43.648',-,-,-,-,-,-,-0.120,-0.112,61.200,-
'25:43.656',-,-,-,-,-,-,-0.120,-0.184,61.200,-
'25:43.664',-,-,-,-,-,-,-0.120,-0.112,61.200,-
'25:43.672',-,-,-,-,-,-,-0.104,-0.064,62.400,-
'25:43.680',-,-,-,-,-,-,-0.120,-0.112,62.400,-
'25:43.688',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:43.696',-,-,-,-,-,-,-0.104,-0.088,62.400,-
'25:43.704',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:43.712',-,-,-,-,-,-,-0.080,-0.088,62.400,-
'25:43.720',-,-,-,-,-,-,-0.056,-0.088,62.400,-
'25:43.728',-,-,-,-,-,-,-0.056,-0.040,61.200,-
'25:43.736',-,-,-,-,-,-,-0.040,-0.040,61.200,-
'25:43.744',-,-,-,-,-,-,0.016,-0.064,60.000,-
'25:43.752',-,-,-,-,-,-,0.080,0.040,60.000,-
'25:43.760',-,-,-,-,-,-,0.104,0.136,60.000,-
